Name;EmailAddress;Website;Telf_1;Address;NearTown;PostalCode;Province
Wecamp San Sebastián;info@wecamp.net;https://wecamp.net/destinos/san-sebastian;;;;; 
Camping Playa De Arija;info@campingplayadearija.com;https://www.campingplayadearija.com;;Avda Gran Via;Arija;9570;Burgos
Camping Cabuerniga;info@campingcabuerniga.com;https://www.campingcabuerniga.com;;Pob. Sopeña, 130;Sopeña;39510;Cantabria
Las Hazas;info@areaautocaravanaslashazas.com;https://areaautocaravanaslashazas.com/;;Bº. Los Corrales;Cóbreces;39320;Cantabria
Camping El Helguero;reservas@campingelhelguero.com;https://www.campingelhelguero.com;;C/ El Helguero, s/n;Ruiloba;39527;Cantabria
Camping Comillas;info@campingcomillas.com;https://campingcomillas.com/;;Calle Manuel Noriega;Comillas;39520;Cantabria
Camping Somo Parque;somoparque@somoparque.com;https://somoparque.com/;;Carretera Somo-Suesa. Finca Mojante 21;Ribamontan al Mar;39150;Cantabria
Camping Caravaning Oyambre;camping@oyambre.com;https://www.oyambre.com/;;Bº Los Llaos, s/n;San Vicente de la Barquera;39540;Cantabria
Camping Latas;reservas@campinglatas.com;https://campinglatas.com;;C/ Arna, 104;Somo;39140;Cantabria
Camping El Rosal;info@campingelrosal.com;https://campingelrosal.com;;Carretera de la playa S/N;San Vicente de la Barquera;39540;Cantabria
Camping Villar Cayo;info@campingvillarcayo.com;https://campingvillarcayo.com/;;Villarcayo de Merindad de Castilla la Vieja;Burgos;9550;Burgos
Camping La Arenas;info@campinglasarenas.com;http://www.campinglasarenas.com;;Ctra Pechón - Unquera, Km. 2;Pechón;39594;Cantabria
Camping Playa Joyel;info@playajoyel.com;https://www.playajoyel.com;;Playa de ris, S/N;Cantabria;39180;Cantabria
Camping Playa del Regatón;info@campingplayaregaton;https://campingplayaregaton.com;;Carretera al Camping Playa del Regatón 8;Laredo;39770;Cantabria
Camping Laredo;info@campinglaredo.com;https://campinglaredo.com;;Avda Regatón 2;Laredo;39770;Cantabria
Camping Monte Royal;info@campingmonteroyal.com;https://www.campingmonteroyal.com;;Carretera Virgen del Llano;Aguilar de Campoo;34800;Palencia
Camping Colombres;contacta@campingcolombres.com;https://campingcolombres.com;;Carretera El Peral a Noriega s/n;Colombres;33590;Asturias
Camping La Viorna Picos de Europa;info@campinglaviorna.com;https://campinglaviorna.com/;;Carretera de;Santo Toribio;39586;Cantabria
Camping el Molino;info@campingencantabria.com;https://campingencantabria.com;;Barrio La Vega, Potes a 8km Carretera Soberado-Dobres;La Vega de Liébana;39577;Cantabria
Camping La Isla - Picos De Europa;Info@campinglaislapicosdeeuropa.com;https://www.campinglaislapicosdeeuropa.com/;;Turieno;Potes;39586;Cantabria
Camping La Paz;delfin@campinglapaz.com;https://campinglapaz.com/;;Camping La Paz Playa de Vidiago;Llanes;33597;Asturias
Camping Playa Arenillas;info@campingplayaarenillas.com;https://www.campingplayaarenillas.es;;Barrio Arenillas;Islares;39798;Cantabria
Camping Playa de Ajo;info@campingplayadeajo.com;http://campingplayadeajo.com/;;C/ La Bandera, 1295;Ajo;39170;Cantabria
Camping Los Molinos;campinglosmolinos@campinglosmolinos.com;https://www.campinglosmolinos.com;;La Ria S/N;Noja;39180;Cantabria
